created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
Fri Apr 18 10:59:41 +0000 2025;139;Bayangkan jika ada warga sipil Palestina yang menenteng senapan serbu di tempat umum dan terbuka seperti ini pasti akan langsung ditembak di tempat oleh tentara Israel.. namun Israel memperbolehkan warga sipil mereka membawa dan pakai senapannya untuk menindas sipil Palestina. https://t.co/ZqjCgj3Jvx;1,91E+18;https://pbs.twimg.com/media/Go0AJ6KbkAAiYZe.jpg;RWWReborn;in;DKI Jakarta, Indonesia;1;5;32;https://x.com/RWWReborn/status/1913185663027122646;1,82E+18;RWWReborn
Fri Apr 18 04:44:41 +0000 2025;12;Seorang penduduk Gaza menangis kesedihan dan berkata: Setiap serangan terkena kanak2 setiap letupan seolah-olah memang ditujukan kepada kanak-kanak menunjukkan bahawa semakin ramai kanak-kanak menjadi mangsa dalam serangan Israel yang berterusan di Gaza. #TerkiniPalestin https://t.co/CfMbOtdbhI;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1913091254742880256/pu/img/JWkcYEWuAPDIU0XZ.jpg;;in;Kuala Lumpur Federal Territory;0;0;12;https://x.com/BDS_Malaysia/status/1913091289740165400;1,15E+18;BDS_Malaysia
Thu Apr 17 13:41:52 +0000 2025;311;TERKINI Pejabat PBB Untuk Koordinasi Hal Ehwal Kemanusiaan OCHA memaklumkan kini 500 000 rakyat Palestin kini tiada tempat tinggal akibat serangan Israel sejak 18 Mac 2025 https://t.co/z5tQAD6tAV;1,91E+18;https://pbs.twimg.com/media/GovbwHra4AA8hCz.jpg;;in;;1;1;446;https://x.com/Marchfoward/status/1912864088734240902;2194068895;Marchfoward
Wed Apr 09 05:35:36 +0000 2025;508;Sedih geram ngeri melihat video2 pembantaian rakyat Palestina oleh Zionis Israel. Ya Allah perlihatkan pada kami kehancuran Zionis Israel. Berilah pertolongan pada saudara2 kami di Palestina.;1,91E+18;;;in;Yogyakarta, Indonesia;1;12;197;https://x.com/AmrullahAK/status/1909842612909228538;70597320;AmrullahAK
Mon Apr 14 15:10:04 +0000 2025;1559;@AymanAlatas iya tau gw katolik (which is also kristen) berpihak pada kemanusiaan (sejalan dgn pope francis). ga ada ceritanya gereja katolik bela israel Kami juga hampir tiap minggu di gereja mendoakan utk perdamaian dunia. Tolong perbaiki persepsinya ga;1,91E+18;;AymanAlatas;in;;8;27;153;https://x.com/EdogawaHikari/status/1911799122098831515;1,17E+18;EdogawaHikari
Sat Apr 12 13:14:54 +0000 2025;194;Wakil MUI Buya Anwar Abbas : Pemerintah Israel akan senang jika rakyat gaza keluar dari Gaza karena mereka memang berniat mengusir rakyat gaza Pak @prabowo mengatakan bahwa rakyat palestina dievakuasi ke Indonesia bersifat sementara sampai suasana di gaza kembali pulih dan https://t.co/mm4wVEadMo;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1911045078795071488/img/gfsoOPdL88MGMKbf.jpg;;in;Jakarta Capital Region;10;18;111;https://x.com/DrEvaChaniago/status/1911045360468021266;1355632532;DrEvaChaniago
Sun Apr 13 11:36:58 +0000 2025;571;Rakyat Gaza termasuk kanak kanak kini melarikan diri menuju ke tempat yang mereka rasa selamat selepas Israel kini menguasai satu per lima Gaza https://t.co/KhTU9Ijsml;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1911383058386673664/pu/img/BCZLPXJRyOmbDPd6.jpg;;in;;3;8;727;https://x.com/Marchfoward/status/1911383104079405388;2194068895;Marchfoward
Wed Apr 16 06:33:10 +0000 2025;3649;Di saat seluruh dunia lagi boikot Israel secara akademik pejabat di Indonesia malah nyuruh belajar ke Israel. Hadeeeeh https://t.co/fTBuBwWfU2;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1912393486415912961/img/RxtXv3pZR42Il62k.jpg;;in;Jakarta, Indonesia;164;415;1570;https://x.com/erlanishere/status/1912393813651599557;69561307;erlanishere
Fri Apr 18 08:59:54 +0000 2025;64;udah mau ngedukung gerakannya israel aja tarifnya masih dinaikin lagi lol please lick his ass more u dumb fatso;1,91E+18;;;in;Canada;0;0;25;https://x.com/cucunyasoekiman/status/1913155514806226967;7,45E+17;cucunyasoekiman
Fri Apr 18 00:41:49 +0000 2025;15;Janin yang belum lahir pun tidak selamat dari serangan Israel di tenda-tenda pengungsian di Jalur Gaza selatan. Serangan itu merobek rahim sang ibu membunuhnya dan janinnya yang baru berusia empat bulan. @QudsNen @sahabatalaqsha https://t.co/xQvbV8UOb1;1,91E+18;https://pbs.twimg.com/media/GoxyzBIaEAA1fLK.jpg;;in;Yogyakarta, Indonesia;2;0;61;https://x.com/sahabatalaqsha/status/1913030168333230437;57783490;sahabatalaqsha
Mon Apr 14 09:27:06 +0000 2025;1524;SD IT Al-Khansa Aceh memperkenalkan produk2 pro israel yang di Boikot kpd murid2nya ️ Semoga Boikot terus Berlanjut &amp;;;;;;;;;;;
Sun Apr 13 13:17:36 +0000 2025;4;Buku ini tidak hanya mengisahkan tragedi pribadi tetapi juga menyoroti ketimpangan antara warga Palestina dan pemukim Israel serta bagaimana sistem pendudukan mempersulit kehidupan sehari-hari. https://t.co/wpDNkujwem;1,91E+18;https://pbs.twimg.com/media/Goav1bfXoAEQHen.jpg;;in;Bekasi, Indonesia;0;1;0;https://x.com/kedaiboekoe/status/1911408427969937539;2907641923;kedaiboekoe
Thu Apr 17 03:52:11 +0000 2025;3; Sedikitnya 10 orang syahid gugur akibat serangan drone oleh pasukan pendudukan Israel (IOF) yang menargetkan tenda pengungsi di barat laut kawasan Mawasi Khan Younis Jalur Gaza bagian selatan. #FreePalestine | Gaza | Kamis https://t.co/qAEFWjyk4g;1,91E+18;https://pbs.twimg.com/media/GotUxPJaIAA0noD.jpg;;in;;0;1;1;https://x.com/dearakhirat/status/1912715688860610767;1,75E+18;dearakhirat
Wed Apr 16 03:19:41 +0000 2025;240;Dalam satu temu bual bersama Al Jazeera Arabic Ibrahim Abu Mahadi seorang bapa Palestin yang kehilangan enam anak lelakinya yang syahid akibat serangan Israel pada Ahad di Gaza berkata mereka tidak akan menyerahkan walau seinci pun tanah mereka walau apa pun tindakan Israel. https://t.co/mDvndSgwiN;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1912345090762174464/pu/img/7GAAN3Ia032PnwgW.jpg;;in;;1;1;165;https://x.com/numanmazlan/status/1912345123079483751;250066452;numanmazlan
Fri Apr 18 11:19:59 +0000 2025;6;Israel bakar hidup-hidup 6 anak Gaza dari keluarga Abu Al-Rouz dalam serangan udara dua hari yang lalu. Berikut wajah anak Gaza yang tak berdosa. https://t.co/0VcxRfNtME;1,91E+18;https://pbs.twimg.com/media/Go0E3PPbwAAgU5C.jpg;;in;Kuala Lumpur Federal Territory;0;0;7;https://x.com/BDS_Malaysia/status/1913190769604874742;1,15E+18;BDS_Malaysia
Thu Apr 10 22:27:20 +0000 2025;6677;@tempodotco Bukan masalah terima gak terima pengungsi bawa warga Gaza ke Indo itu berarti membantu Israel dan US mencapai tujuan occupying Gaza. Mempertahankan tanah Gaza itu udah perjuangan warga Gaza dari dulu kenapa malah mau dipindahin dari tanahnya?;1,91E+18;;tempodotco;in;Cakung DC;29;21;939;https://x.com/TJ_kreem/status/1910459610580037959;1,69E+18;TJ_kreem
Sat Apr 12 09:32:55 +0000 2025;923;TERKINI 500 kanak kanak Gaza sudah dibunuh Tentera Israel sejak gencatan senjata dilanggar pada 18 Mac 2025 sehingga kini maklum Pasukan Pertahanan Awam Gaza;1,91E+18;;;in;;2;0;1290;https://x.com/Marchfoward/status/1910989498571469121;2194068895;Marchfoward
Thu Apr 17 07:04:25 +0000 2025;2489;BDS sendiri sangat menentang evakuasi penduduk asli Palestina karena hal itu sama saja memuluskan rencana Zionis Israel dalam mengusir penduduk serta menguasai tanahnya tanpa ada kesempatan penduduk untuk kembali. Berikut ini adalah pandangan singkat BDS mengenai hal tersebut https://t.co/KlkSHliMA6;1,91E+18;https://pbs.twimg.com/media/GouAxw8acAE1abd.jpg;;in;;63;24;2122;https://x.com/GerakanBDS_ID/status/1912764066386571625;1,51E+18;GerakanBDS_ID
Fri Apr 18 09:51:27 +0000 2025;3;US Rusia China Israel Iran dll ketar ketir berhadapan dengan ini https://t.co/eRBGdMrKCg;1,91E+18;https://pbs.twimg.com/media/GozwmfWbgAA-fzL.jpg;;in;;0;0;0;https://x.com/radixhidayat/status/1913168488409301498;16296282;radixhidayat
Mon Apr 14 10:57:45 +0000 2025;6;Tepat satu tahun yang lalu Iran melakukan serangan rudal terbesar di dunia terhadap teroris zionis Israel https://t.co/a3PpgercQE;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1911735550068797440/pu/img/X2f95jBMaPdzkU07.jpg;;in;proling;1;0;2;https://x.com/laskar162955/status/1911735624270586365;1,75E+18;laskar162955
Sun Apr 13 08:00:01 +0000 2025;6;Selamat Paskah dari sahabat Israel. 🇮🇱 https://t.co/dxZVCbh0wG;1,91E+18;https://pbs.twimg.com/media/GoZMxbYWIAAyHqz.jpg;;in;Berlin, Germany;0;1;3;https://x.com/Narasi_winda/status/1911328508812423402;1,51E+18;Narasi_winda
Sun Apr 13 17:52:07 +0000 2025;259;Aktivis hak asasi manusia meluncurkan video berbasis AI untuk menyerukan pentingnya boikot terhadap perusahaan-perusahaan internasional yang terlibat dalam genosida penjajah Israel terhadap rakyat Palestina guna menghentikan pertumpahan darah yang sedang berlangsung. https://t.co/cQ7bAEVBjr;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1911477418566541312/img/MUJNYon_akbQ0y0K.jpg;;in;Yogyakarta, Indonesia;2;3;238;https://x.com/sahabatalaqsha/status/1911477512426951044;57783490;sahabatalaqsha
Tue Apr 15 10:57:53 +0000 2025;3269;Propaganda dan narasi Zionis perlahan masuk. Untuk rekan-rekan jangan lupa baca Ten Myths About Israel karya Ilan Pappe membahas propaganda Israel lewat lobby distorsi sejarah dan lainnya.;1,91E+18;;;in;Indonesia;16;17;1922;https://x.com/logos_id/status/1912098042469134367;255021263;logos_id
Wed Apr 16 15:31:28 +0000 2025;3877;Pakcik2 masjid tu patut tgok ni. Ko asyik nk tanam anjing hidup2 pastu update group wasap taman. Yg lg sekor bangga buat operasi tembak anjing. Semayang tungin tebalik klau prngai cam israel xkmna gak;1,91E+18;;;in;Kuala Lumpur;39;81;1672;https://x.com/luluechah/status/1912529282838278599;3113471798;luluechah
Tue Apr 15 17:21:53 +0000 2025;509;Begini isi percakapan warga Palestina dan Israel https://t.co/PH8xEw2r0M;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1912194573633208320/pu/img/m-TOtJb7ZGiDuC05.jpg;;in;;5;5;207;https://x.com/blue_berets7/status/1912194680642760876;1,23E+18;blue_berets7
Mon Apr 14 11:53:02 +0000 2025;79;🇺🇲🇷🇺 Trump tidak pernah mengutuk serangan brutal teroris Israel terhadap warga Gaza tapi mengomentari serangan rudal Iskander Rusia yang menghantam sekumpulan personel militer Ukraina yang mengadakan acara seremonial di pusat kota Sumy kemarin. https://t.co/gUSag3a5jg;1,91E+18;https://pbs.twimg.com/ext_tw_video_thumb/1911749128570261504/pu/img/mw1sIFOi3MTt-hIM.jpg;;in;Moscow;0;4;33;https://x.com/yo2thok/status/1911749537267650869;497234852;yo2thok
Thu Apr 17 04:55:28 +0000 2025;2300;pelabuhan npct bikin lumpuh priuk dari malem tolong israel dan korea utara kalo cari kelinci percobaan rudal tolong dirudal ini npct goblok ngentot anjing bangsat tolol https://t.co/iUxYXE4Cf3;1,91E+18;https://pbs.twimg.com/amplify_video_thumb/1912730926293086208/img/pk5CHNR4VGeTEHAP.jpg;;in;DKI Jakarta, Indonesia;88;155;495;https://x.com/pepenidolamu/status/1912731616386203827;527104888;pepenidolamu
Sun Apr 13 12:39:20 +0000 2025;79;Ya Allah lindungilah masyarakat gaza gagalkanlah rencana prabowo untuk memindahkan masyarakat Gaza ke Indonesia dan cabutlah kekuasaan zionisme israel di tanah palestina.;1,91E+18;;;in;Perjalanan;0;0;35;https://x.com/barisantengahid/status/1911398797470540028;1,72E+18;barisantengahid
