"avatarThumbnail","cid","createTime","createTimeISO","diggCount","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/94d4648df7658ebd55ca30f392614122.jpg?lk3s=30310797&x-expires=1714017600&x-signature=jOTKJp1wTagYQ5uZHpQFjci%2B8fA%3D","7290490241566130946","1697449546","2023-10-16T09:45:46.000Z","4",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","i wish 1 days i will fight with Palestine people","7025962587401798682","chaa..biutt","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/dae6be5d0e75a0d519acf833e9c6b0ea~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=c%2FWPm7nu6wW3o0c50O%2BqoQfi7Dc%3D","7291346416068477702","1697648898","2023-10-18T17:08:18.000Z","5",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","roket dari militan Palestina? do they even have it to put the blame on them? buka mata kau kompas TV, don't twist the fact","6807028807871939585","belalangloncat","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/88054d4e3654cd21d7ec4a1a63448ff1~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=JyFkntqRurWh2tLAFjokhGDonYo%3D","7298586193691738885","1699334550","2023-11-07T05:22:30.000Z","1",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Israel babiiiiiiiiii babiiiiiiiiiiiii🤣🤣🤣🤣🤣🤣🤣🤣","7280818798378370054","challenge_starr","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/3231b941daee63041a8efad081d8b108.jpg?lk3s=30310797&x-expires=1714017600&x-signature=Xjz%2FkG0vBLo7buFlapDlA1W65tE%3D","7291756921693455106","1697744490","2023-10-19T19:41:30.000Z","1",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","ALLAH WITH PALESTINE🇵🇸🇵🇸🇵🇸","6596219358501191682","syafn.co__","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6dd64aa18fdfb3b4280f91cdc0772274~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=yfr%2B85yZWO%2BMw6QKWiCewiPNVJ0%3D","7294229363796820741","1698320141","2023-10-26T11:35:41.000Z","1",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Sori but I don't care about israel😂😂","6605877569026867202","kaishin_kaito","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-aiso/6e089e474434f6bd480eef7bb7b535db~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=PP59BTK6jc7foChGCNEPkelpQy8%3D","7295349359620653830","1698580903","2023-10-29T12:01:43.000Z","2",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","#FREEDOM OF PALESTINE","6854317991339099137","pscalme","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c512dfb8773f30d450e9b537ee5907d9~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=yUScxbC91CRDb1Mo%2FcBSScPaujE%3D","7289808210193875717","1697290758","2023-10-14T13:39:18.000Z","2",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","#prayforpalestine 🤲🏼","7040340133933089818","zxfgv___","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/361dfc9184fcec727297dcc5b924a9d5.jpg?lk3s=30310797&x-expires=1714017600&x-signature=eTOAUOYtguffpYFbpSptWU0YMCg%3D","7327338871775314706","1706029041","2024-01-23T16:57:21.000Z","0",,"32","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","@M Does it look okay to you in any way?? Why did you start this?? There would be no war with you if you didn't do it","7044880282050151429","m_marinette_m","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/6e0195198e8bd3a6552a3318538d0041~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=Ecr7ChCsS6uuEspuiaHMCuwTTbs%3D","7301509332394443525","1700015142","2023-11-15T02:25:42.000Z","0",,"0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","free Palestine","6881734331409302530","sarjana_cjdw","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/492c1e02da69dfc82a4feef263f44fc4.jpg?lk3s=30310797&x-expires=1714017600&x-signature=CjqS%2F2rdDfLNncy5nXKKn3Voo4s%3D","7288330715874804481","1696946747","2023-10-10T14:05:47.000Z","2","7288202369862157058",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","fow what ??","7142466678512583682","nashania_9295","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/441fd91ada5cfdf14cdd5238992c22b7~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=lJEgJY79FOs9DmD2CGtnmNwqZiE%3D","7288567444419101445","1697001878","2023-10-11T05:24:38.000Z","4","7288202369862157058",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","pake nanya","7168068771646161946","aliffc_rill","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/fdac99779242e68013ecae51b71b851a.jpg?lk3s=30310797&x-expires=1714017600&x-signature=O6NV%2B0JXfzMHiaLPumPTmjhD0mY%3D","7297365513193620226","1699050393","2023-11-03T22:26:33.000Z","1","7290339077546427141",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","מהאתרוצה","6926795794633344005","mikk1770","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/af91a8d512aa049d860001b6126548f5.jpg?lk3s=30310797&x-expires=1714017600&x-signature=t5r0%2B1XmTN3L%2BsLAZVI0Muk8H34%3D","7300941010115756802","1699882809","2023-11-13T13:40:09.000Z","0","7290339077546427141",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","zionazis will always be zionazis","7032684600212587525","nousername_tq","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/3ee5900aba92a13dc2c6a4931e46ec1a.jpg?lk3s=30310797&x-expires=1714017600&x-signature=TxGWPPfoSQAz%2FtzqNyarNTJ3kk0%3D","7296407850266575617","1698827350","2023-11-01T08:29:10.000Z","1","7290339077546427141",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","No","7163765638144754690","ilaytayar0","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2a21b11486e5922c8c4e3717626cd17f~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=kj2Iu8W%2BMHZ%2BVoyv3akcVG58uCg%3D","7287587200073368325","1696776736","2023-10-08T14:52:16.000Z","21","7287592302414332678",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","𝘮𝘪𝘯 𝘥𝘪𝘴𝘪𝘯𝘪 𝘣𝘢𝘯𝘺𝘢𝘬 𝘺𝘢𝘩𝘶𝘥𝘪 yang komen🤣","7100560608211354630","zzaa_506","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7238805526266511366~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=C0nqXLoLtwtXa4lzjH8cdKFtZtA%3D","7287608473217991430","1696778582","2023-10-08T15:23:02.000Z","3","7287592302414332678",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","iya bang tanda kiamat","6931704471883039745","jesensen13","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2a21b11486e5922c8c4e3717626cd17f~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=kj2Iu8W%2BMHZ%2BVoyv3akcVG58uCg%3D","7287828287588778757","1696833987","2023-10-09T06:46:27.000Z","2","7287592302414332678",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","biasa lahh","7100560608211354630","zzaa_506","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/1b305b3a54ed87dd449271abe4989e5d.jpg?lk3s=30310797&x-expires=1714017600&x-signature=bRHN0iFNxOpP3PnTfP%2F%2FIJ6U05k%3D","7296900668630762241","1698942096","2023-11-02T16:21:36.000Z","0","7290339077546427141",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Israel has no county or land in this world","7264021304344085512","expensiveperson01","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/22fefa2f60b0cc53216de6333ef06c63~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=r5512iC4uNOv58mUH1GMbZ7OjXI%3D","7295198021212717829","1698545668","2023-10-29T02:14:28.000Z","1","7290339077546427141",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Fir us here we want peace not standing with any of the two","6993521046389965830","dinah.25","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/bd00ba6c77d84f31d584ab8c91b64f8f~c5_100x100.jpg?lk3s=30310797&x-expires=1714017600&x-signature=baCJixf5PxHK%2F2rcs87jbijH0nQ%3D","7333925607820870408","1707562631","2024-02-10T10:57:11.000Z","0","7290339077546427141",,"https://www.tiktok.com/@kompastvnews/video/7287443568329870600?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","nope you're wrong we are not stand with any of terrorist state just like yours russia😏","7083718930326455298","shadow3937_pets","https://www.tiktok.com/@kompastvnews/video/7287443568329870600"
