"avatarThumbnail","cid","createTime","createTimeISO","diggCount","repliesToId","replyCommentTotal","submittedVideoUrl","text","uid","uniqueId","videoWebUrl"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/62927afd7d4703c13fec4f0eb39dbf3f.jpg?lk3s=30310797&x-expires=1714021200&x-signature=PCggfslqIx4S7lYNBBEkVMBvyfg%3D","7336901900430394130","1708255600","2024-02-18T11:26:40.000Z","4",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","animals have better recognition of good & bad people compared to human,","7263061000520598529","ain79989","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/b6525901333102b5adf6b6a4d9c99bcf~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=MyKsBAkw98yiE2vK8EI6%2FhBR5RY%3D","7336395193800033030","1708137636","2024-02-17T02:40:36.000Z","13",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","the former pets are getting mass unalived, this is a devastating story 😭","6946256406714680325","annoying_appetizer","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/cefb0e97337d78a68da44e9e87cbc6ba~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=0Hawzuph4Imhare%2FAWEDW7jezeA%3D","7336369932651578117","1708131755","2024-02-17T01:02:35.000Z","11",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","very good news","6966411484755969030","madha299","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7263366004665745414~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=qafTOdNT2eDSskXQk6fdr%2BDB1sE%3D","7336527037547627269","1708168331","2024-02-17T11:12:11.000Z","6",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","no humanitarian animal unalives stray demons in 🍉...that's a better headline","7157491847382696966","jamielynn2521","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/6df28b942086d3b06bdee21e1869b05b.jpg?lk3s=30310797&x-expires=1714021200&x-signature=LSRi4VVv7CemWfsZYyaaRep87Sk%3D","7336776113735254786","1708226324","2024-02-18T03:18:44.000Z","4",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","even the dogs know the right side 😔","7167986615720625179","cip_munk","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/9ffba633bf5ea2bd25e084c35ae44b2b~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=mwqvsKLWcjqwm3MAI3oO60C1YNw%3D","7336347505453351685","1708126538","2024-02-16T23:35:38.000Z","55",,"10","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","those aren't probably dogs.","6872872949897757697","abrarurrahmanmohammad","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p19-sign.tiktokcdn-us.com/tos-useast5-avt-0068-tx/4193ab7d2d4e705f7cbd827f0d429564~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=S%2FsZi3RAghaicuMus%2F4s1reV28M%3D","7336598196984251182","1708184895","2024-02-17T15:48:15.000Z","2",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Even dogs being occupied","7303683643071874094","fadilamranialaoui","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/ca98fa08b44b5329763851e6e409fb24.jpg?lk3s=30310797&x-expires=1714021200&x-signature=5LhyxZ7MgiNIGZDFEyPaXt%2B3OZ8%3D","7336349563927986951","1708127015","2024-02-16T23:43:35.000Z","10",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","the avenger","6742216458489267206","mcris21_grace","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-pu-sign-useast8.tiktokcdn-us.com/tos-useast5-avt-0068-tx/7349843639666753582~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=K7lb%2FBfEsHnV8MSPOmLqcFXIdlI%3D","7336478245350703918","1708156975","2024-02-17T08:02:55.000Z","2",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Good dogs!","7116692918788621358","msxmasabdel","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/6d591139e150f83e9a9c3a273b87a686.jpg?lk3s=30310797&x-expires=1714021200&x-signature=at9xPBJxYCUtKiXHirxyhLXD8N4%3D","7336898002915312386","1708258752","2024-02-18T12:19:12.000Z","3","7336363695905981214",,"https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","yesss","7288039963186070530","secret_honey._","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/fd3c4f817ef51ea6e33f7932629e8e9e~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=AqC78HQnMB2GqQAzb%2FYsE6NemGo%3D","7336667042450457349","1708200928","2024-02-17T20:15:28.000Z","1","7336363695905981214",,"https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","absolutely 💯","7038577788080931846","azhzhayassin1","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ab804f6adaf9913349cfd3f1601fd4c~c5_100x100.jpg?lk3s=30310797&x-expires=1714021200&x-signature=dTZlJMFUyr9KXWswS5fD5SwoxEY%3D","7336694249172042502","1708209258","2024-02-17T22:34:18.000Z","0","7336363695905981214",,"https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","exactement 👍","7026709670526616578","inamto0811","https://www.tiktok.com/@royanews/video/7336316158892625160"
"https://p16-sign-sg.tiktokcdn.com/aweme/100x100/tos-alisg-avt-0068/96f6691d515b614d9402cb44343f4de4.jpg?lk3s=30310797&x-expires=1714021200&x-signature=g%2FeD9h43Nn4hOIPBYdSukr9xogE%3D","7336363712447906561","1708130326","2024-02-17T00:38:46.000Z","15",,"0","https://www.tiktok.com/@royanews/video/7336316158892625160?is_from_webapp=1&sender_device=pc&web_id=7343138512164390418","Alhamdulillah terima Kasih Ya Allah","7058605528368907265","edijee","https://www.tiktok.com/@royanews/video/7336316158892625160"
